GalNAcol,HexNAc,Hex,Fuc,Neu5Ac,Neu5Gc,SO3-,mass
1.0,1.0,3.0,0.0,1.0,0.0,2.0,1724.7877
1.0,1.0,3.0,0.0,2.0,0.0,0.0,1909.9614000000001
1.0,1.0,3.0,0.0,2.0,0.0,1.0,1997.9614000000001
1.0,1.0,3.0,0.0,2.0,0.0,2.0,2085.9614
1.0,1.0,3.0,1.0,0.0,0.0,0.0,1361.7032
1.0,1.0,3.0,1.0,0.0,0.0,1.0,1449.7032
1.0,1.0,3.0,1.0,0.0,0.0,2.0,1537.7032
1.0,1.0,3.0,1.0,1.0,0.0,0.0,1722.8769
1.0,1.0,3.0,1.0,1.0,0.0,1.0,1810.8769
1.0,1.0,3.0,1.0,1.0,0.0,2.0,1898.8769
1.0,1.0,3.0,1.0,2.0,0.0,0.0,2084.0506
